stockid,tsn,scientificname,commonname,areaid
ANCHOVYKILKACS,551220,Clupeonella engrauliformis,Anchovy kilka,Iran-Iran-CS
ANGLMEDGSA15-16,164502,Lophius budegassa,Black bellied angler,multinational-GFCM-GSA15-16
ANGLMEDGSA5,164502,Lophius budegassa,Black bellied angler,multinational-GFCM-GSA5
ANGLMEDGSA6,164502,Lophius budegassa,Black bellied angler,multinational-GFCM-GSA6
ANGLMEDGSA7,164502,Lophius budegassa,Black bellied angler,multinational-GFCM-GSA7
ANGLVIIIc-IXa,164502,Lophius budegassa,Black bellied angler,multinational-ICES-VIIIc-IXa
ANGLVII-VIIIabd,164502,Lophius budegassa,Black bellied angler,multinational-ICES-VII-VIIIabd
APOLLNEMS,164722,Theragra chalcogramma,Walleye pollock,Japan-FAJ-NEMS
APOLLNSJ,164722,Theragra chalcogramma,Walleye pollock,Japan-FAJ-NSJ
APOLLOKS,164722,Theragra chalcogramma,Walleye pollock,Japan-FAJ-OKS
APOLLPJPN,164722,Theragra chalcogramma,Walleye pollock,Japan-FAJ-PJPN
APSHRIMPSOJ,621110,Pandalus eous,Alaskan pink shrimp,Japan-FAJ-SOJ
ARCSURF4RST,80983,Mactromeris polynyma,Arctic surfclam,Canada-DFO-Q4RST
ARCSURFBANQ,80983,Mactromeris polynyma,Arctic surfclam,Canada-DFO-BANQ
ARCSURFGB,80983,Mactromeris polynyma,Arctic surfclam,Canada-DFO-3LNO
ARCSURFQCW,80983,Mactromeris polynyma,Arctic surfclam,Canada-DFO-QCW
ARFLOUNDBSAI,616029,Atheresthes stomias,Arrowtooth flounder,USA-NMFS-BSAI
ARFLOUNDGA,616029,Atheresthes stomias,Arrowtooth flounder,USA-NMFS-GA
ARFLOUNDPCOAST,616029,Atheresthes stomias,Arrowtooth flounder,USA-NMFS-PCOAST
ARGANCHONARG,551338,Engraulis anchoita,Argentine anchoita,Argentina-CFP-ARG-N
ARGANCHOSARG,551338,Engraulis anchoita,Argentine anchoita,Argentina-CFP-ARG-S
ARGHAKENARG,164800,Merluccius hubbsi,Argentine hake,Argentina-CFP-ARG-N
ARGHAKESARG,164800,Merluccius hubbsi,Argentine hake,Argentina-CFP-ARG-S
ARGREENNEMS,644357,Pleurogrammus azonus,Arabesque greenling,Japan-FAJ-NEMS
ARGREENNHOKK,644357,Pleurogrammus azonus,Arabesque greenling,Japan-FAJ-NHOKK
ARGREENSHOKK,644357,Pleurogrammus azonus,Arabesque greenling,Japan-FAJ-SHOKK
ASCADECS,168736,Decapterus muroadsi,Amberstripe scad,Japan-FAJ-ECS
ASHARNEATL,160788,Squatina squatina,Angel shark,multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-X-XII-XIV
ATBTUNAEATL,172421,Thunnus thynnus,Atlantic bluefin tuna,multinational-ICCAT-EATL
ATBTUNAWATL,172421,Thunnus thynnus,Atlantic bluefin tuna,multinational-ICCAT-WATL
ATHAL3NOPs4VWX5Zc,172933,Hippoglossus hippoglossus,Atlantic halibut,Canada-DFO-3NOPs4VWX5Zc
ATHAL4RST,172933,Hippoglossus hippoglossus,Atlantic halibut,Canada-DFO-4RST
ATHAL5YZ,172933,Hippoglossus hippoglossus,Atlantic halibut,USA-NMFS-5YZ
ATKABSAI,167120,Pleurogrammus monopterygius,Atka mackerel,USA-NMFS-BSAI
ATKAGA,167120,Pleurogrammus monopterygius,Atka mackerel,USA-NMFS-GA
ATLCROAKMATLC,169283,Micropogonias undulatus,Atlantic croaker,USA-NMFS-MATLC
ATOOTHFISHRS,642808,Dissostichus mawsoni,Antarctic toothfish,multinational-CCAMLR-RS
AUROCKPCOAST,166709,Sebastes aurora,Aurora rockfish,USA-NMFS-PCOAST
AUSSALMONNZ,168827,Arripis trutta,Australian salmon,New Zealand-MFish-NZ
AWOLF5YZ,171341,Anarhichas lupus,Atlantic wolffish,USA-NMFS-5YZ
BCRABCHESB,98696,Callinectes sapidus,Blue crab,USA-MDSTATE-CHESB
BCROAKCWAGIN-LBR,646550,Pseudotolithus elongatus,Bobo croaker,multinational-FAO-CWAGIN-LBR
BERYXSPPNEATL,166154,Beryx spp,Beryx spp,multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-X-XII-XIV
BGRDRNSWWA,623193,Macruronus novaezelandiae,Blue grenadier,Australia-AFMA-NSWWA
BGRDRSE,623193,Macruronus novaezelandiae,Blue grenadier,Australia-AFMA-SE
BGROCKPCOAST,166728,Sebastes melanostomus,Blackgill rockfish,USA-NMFS-PCOAST
BGRUNTCWACIV-BEN,169108,Brachydeuterus auritus,Bigeye grunt,multinational-FAO-CWACIV-BEN
BGRUNTCWACOG_AGO,169108,Brachydeuterus auritus,Bigeye grunt,multinational-FAO-CWACOG_AGO
BHAKECWAAGO,550664,Merluccius polli,Benguela hake,multinational-FAO-CWAAGO
